Agent Bob,Agent Anna,Node [Walking],Behavior end,Confidence nom,Confidence denom
2381313,2381323,2022-06-03 20:40:57.659348,2022-06-03 20:41:12.889494,15.230146,15.230146
2381312,2381343,2022-06-03 20:40:34.786060,2022-06-03 20:40:50.019001,14.803171599999999,15.232941
